p_entry_type,p_rsi_thresh,p_tranche2_drop,p_target1,p_target2,p_stop_pct,p_entry_hour_cut,p_max_sessions,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd,n_entries,pct_entered
vwap_reclaim,30,0.02,0.03,0.12,0.15,14,2,-4.12,-0.81,0.002,-31.29,243,65.43,95.06,-184.84,243,98.8
vwap_reclaim,30,0.02,0.03,0.12,0.15,14,3,4.75,0.9,0.14,-39.65,246,65.45,125.01,-231.2,246,100.0
vwap_reclaim,30,0.02,0.03,0.12,0.15,16,1,1.31,0.25,0.071,-14.53,221,62.44,61.81,-101.19,221,89.8
vwap_reclaim,30,0.02,0.03,0.12,0.15,16,2,-4.93,-0.97,-0.012,-31.33,244,65.16,95.8,-185.0,244,99.2
vwap_reclaim,30,0.02,0.03,0.12,0.15,16,3,5.58,1.05,0.149,-39.49,246,65.85,125.52,-235.43,246,100.0
vwap_reclaim,30,0.02,0.03,0.15,0.1,12,1,-0.39,-0.08,0.022,-15.49,203,62.56,63.02,-105.82,203,82.5
vwap_reclaim,30,0.02,0.03,0.15,0.1,12,2,-8.37,-1.68,-0.067,-29.81,238,65.13,94.41,-186.39,238,96.7
vwap_reclaim,30,0.02,0.03,0.15,0.1,12,3,-11.77,-2.39,-0.049,-38.71,243,63.79,125.37,-234.2,243,98.8
vwap_reclaim,30,0.02,0.03,0.15,0.1,14,1,2.67,0.51,0.11,-14.48,214,63.08,62.68,-103.74,214,87.0
vwap_reclaim,30,0.02,0.03,0.15,0.1,14,2,-4.51,-0.89,-0.006,-28.97,243,65.43,95.12,-185.42,243,98.8
vwap_reclaim,30,0.02,0.03,0.15,0.1,14,3,-1.58,-0.31,0.065,-36.01,246,65.45,125.28,-239.16,246,100.0
vwap_reclaim,30,0.02,0.03,0.15,0.1,16,1,2.0,0.38,0.091,-14.53,221,62.44,61.81,-100.36,221,89.8
vwap_reclaim,30,0.02,0.03,0.15,0.1,16,2,-5.31,-1.05,-0.021,-29.05,244,65.16,95.86,-185.57,244,99.2
vwap_reclaim,30,0.02,0.03,0.15,0.1,16,3,-0.51,-0.1,0.077,-35.22,246,65.85,125.94,-243.49,246,100.0
vwap_reclaim,30,0.02,0.03,0.15,0.12,12,1,-1.08,-0.21,0.003,-15.49,203,62.56,63.02,-106.73,203,82.5
vwap_reclaim,30,0.02,0.03,0.15,0.12,12,2,-6.58,-1.31,-0.041,-29.57,238,65.13,94.41,-184.23,238,96.7
vwap_reclaim,30,0.02,0.03,0.15,0.12,12,3,-8.32,-1.67,-0.015,-41.53,243,63.79,125.37,-230.29,243,98.8
vwap_reclaim,30,0.02,0.03,0.15,0.12,14,1,1.98,0.38,0.09,-14.48,214,63.08,62.68,-104.61,214,87.0
vwap_reclaim,30,0.02,0.03,0.15,0.12,14,2,-3.32,-0.65,0.011,-29.25,243,65.43,95.12,-184.01,243,98.8
vwap_reclaim,30,0.02,0.03,0.15,0.12,14,3,3.8,0.72,0.126,-35.44,246,65.45,125.28,-232.83,246,100.0
vwap_reclaim,30,0.02,0.03,0.15,0.12,16,1,1.31,0.25,0.071,-14.53,221,62.44,61.81,-101.19,221,89.8
vwap_reclaim,30,0.02,0.03,0.15,0.12,16,2,-4.13,-0.81,-0.003,-29.32,244,65.16,95.86,-184.18,244,99.2
vwap_reclaim,30,0.02,0.03,0.15,0.12,16,3,4.87,0.92,0.138,-35.79,246,65.85,125.94,-237.08,246,100.0
vwap_reclaim,30,0.02,0.03,0.15,0.15,12,1,-1.08,-0.21,0.003,-15.49,203,62.56,63.02,-106.73,203,82.5
vwap_reclaim,30,0.02,0.03,0.15,0.15,12,2,-7.28,-1.45,-0.048,-31.58,238,65.13,94.41,-185.07,238,96.7
vwap_reclaim,30,0.02,0.03,0.15,0.15,12,3,-7.93,-1.58,0.004,-45.95,243,63.79,125.37,-229.84,243,98.8
vwap_reclaim,30,0.02,0.03,0.15,0.15,14,1,1.98,0.38,0.09,-14.48,214,63.08,62.68,-104.61,214,87.0
vwap_reclaim,30,0.02,0.03,0.15,0.15,14,2,-4.02,-0.79,0.003,-31.26,243,65.43,95.12,-184.84,243,98.8
vwap_reclaim,30,0.02,0.03,0.15,0.15,14,3,5.18,0.98,0.145,-39.55,246,65.45,125.28,-231.2,246,100.0
vwap_reclaim,30,0.02,0.03,0.15,0.15,16,1,1.31,0.25,0.071,-14.53,221,62.44,61.81,-101.19,221,89.8
vwap_reclaim,30,0.02,0.03,0.15,0.15,16,2,-4.83,-0.95,-0.011,-31.31,244,65.16,95.86,-185.0,244,99.2
vwap_reclaim,30,0.02,0.03,0.15,0.15,16,3,6.26,1.18,0.156,-39.29,246,65.85,125.94,-235.43,246,100.0
vwap_reclaim,30,0.02,0.05,0.08,0.1,12,1,-0.66,-0.13,0.016,-17.16,203,61.08,65.52,-103.68,203,82.5
vwap_reclaim,30,0.02,0.05,0.08,0.1,12,2,-9.82,-1.98,-0.079,-32.3,238,63.03,104.77,-189.75,238,96.7
vwap_reclaim,30,0.02,0.05,0.08,0.1,12,3,0.82,0.16,0.102,-37.6,243,63.37,144.19,-248.57,243,98.8
vwap_reclaim,30,0.02,0.05,0.08,0.1,14,1,1.8,0.35,0.085,-16.65,214,61.68,64.57,-101.75,214,87.0
vwap_reclaim,30,0.02,0.05,0.08,0.1,14,2,-7.61,-1.52,-0.044,-30.88,243,62.96,105.87,-188.43,243,98.8
vwap_reclaim,30,0.02,0.05,0.08,0.1,14,3,6.81,1.28,0.162,-36.49,246,63.82,146.11,-250.09,246,100.0
