p_max_pos_pct,p_n_tranches,p_dip_entry,p_tranche_gap,p_high_lb,p_profit_tgt,p_stop_loss,p_vix_thresh,p_spy_bull,total_return_pct,annualized_return_pct,sharpe_ratio,max_drawdown_pct,num_trades,win_rate_pct,avg_win_usd,avg_loss_usd
0.5,1,0.05,0.03,5,0.15,0.15,28.0,True,189.78,6.32,0.814,-12.12,82,56.1,802.15,-497.8
0.5,1,0.05,0.03,5,0.15,0.15,28.0,False,206.04,6.65,0.808,-18.48,97,57.73,808.85,-602.22
0.5,1,0.05,0.03,5,0.15,0.15,32.0,True,214.22,6.82,0.87,-12.08,82,59.76,803.89,-544.51
0.5,1,0.05,0.03,5,0.15,0.15,32.0,False,245.38,7.4,0.811,-22.27,117,58.97,797.77,-635.6
0.5,1,0.05,0.03,5,0.15,0.15,,True,231.91,7.15,0.902,-11.14,79,63.29,805.62,-589.31
0.5,1,0.05,0.03,5,0.15,0.15,,False,358.16,9.16,0.707,-35.26,137,67.15,853.43,-948.88
0.5,1,0.05,0.03,5,0.15,0.2,25.0,True,157.25,5.59,0.627,-19.48,76,52.63,785.75,-436.26
0.5,1,0.05,0.03,5,0.15,0.2,25.0,False,150.13,5.42,0.549,-21.71,85,54.12,763.78,-515.93
0.5,1,0.05,0.03,5,0.15,0.2,28.0,True,196.15,6.45,0.856,-11.41,81,56.79,804.02,-496.28
0.5,1,0.05,0.03,5,0.15,0.2,28.0,False,206.42,6.66,0.826,-18.33,91,59.34,809.38,-623.37
0.5,1,0.05,0.03,5,0.15,0.2,32.0,True,219.29,6.91,0.903,-11.4,77,61.04,804.93,-530.08
0.5,1,0.05,0.03,5,0.15,0.2,32.0,False,239.23,7.29,0.813,-21.17,104,61.54,800.95,-683.45
0.5,1,0.05,0.03,5,0.15,0.2,,True,217.06,6.87,0.878,-12.64,70,64.29,806.5,-583.44
0.5,1,0.05,0.03,5,0.15,0.2,,False,338.51,8.89,0.696,-33.79,113,72.57,864.65,-1195.18
0.5,1,0.05,0.03,5,0.2,0.12,25.0,True,151.44,5.45,0.573,-23.49,68,48.53,919.85,-434.6
